U.S. Food Purveyor & Ordering Portal Registry,,,,,,,
"Phase 1 research build — verified July 13, 2026",,,,,,,
,,,,,,,
Purpose,"A working integration registry of U.S. foodservice purveyors, public websites, customer ordering URLs, and public order-template/import documentation.",,Metric,Count,,,
Important limitation,"There is no single authoritative public list of every U.S. purveyor. IFDA reports roughly 17,100 U.S. foodservice-distribution facilities, while public association directories cover only subsets of companies and locations.",,Registry entries,141,,,
What is included,"141 companies/networks: U.S.-based IFDA entries plus selected national, online, produce and specialty purveyors.",,Verified direct/landing/e-commerce,0,,,
Ordering URL rule,A direct portal is included only when publicly verifiable. Otherwise the field is blank and Portal Status explains the limitation.,,Public template/import documentation,141,,,
Template rule,Official vendor templates are preferred. Third-party CSV/export instructions are clearly labeled; many vendor templates are only downloadable after login.,,Network/cooperative entries,0,,,
Recommended use,"Seed a platformVendorRegistry, then add aliases/domains and let customers submit missing regional purveyors for admin approval.",,Unverified portal entries,0,,,
Next expansion,"Systematically enumerate UniPro, Frosty Acres, Golbon and state/regional directories; verify portal technology, CSV schema and upload capability account-by-account.",,,,,,
,,,,,,,
Geographic matching,"Choose a two-letter customer state code in E13, then filter “Match Selected State?” to MATCH on the Geographic Coverage sheet.",,Geography Matcher,Value,,,
Matching policy,Only explicitly confirmed state territories auto-match. National and online-nationwide vendors match every state; vague regional claims do not.,,Customer State Code,FL,,,
ZIP warning,"A state match is a candidate, not a delivery guarantee. Many purveyors serve only selected counties, metros or routes within a state.",,Matching Vendors,28,,,
Confidence,High = explicit official territory or national footprint; Medium = official facilities/regions with partial inference; Low = preliminary regional inference needing verification.,,High-confidence Rows,63,,,
Networks / closed systems,"Buying groups, redistributors and franchise supply systems remain in the registry but are intentionally not treated as direct local vendor matches.",,Medium-confidence Rows,23,,,
Source discipline,Every row includes a public source URL. Use the exact customer ZIP or vendor sales contact for final qualification.,,Low-confidence Rows,55,,,
Last geography refresh,"July 14, 2026",,,,,,
,,,,,,,
FnB Cost Pro Vendor Master v2.0,,,,,,,
"Current research cutoff: July 14, 2026",,,,,,,
,,,,,,,
Purpose,Production-oriented seed master for FnB Cost Pro's platformVendorRegistry and vendor discovery workflow.,,v2 KPI,Count,,,
Main sheet,"Vendor Master v2 contains canonical names, aliases, countries, geography, ordering portals, connector keys, ownership status and seed decisions.",,Master records,186,,,
Seed Export,"A normalized, database-friendly subset designed for direct import or transformation in Replit.",,Net new records,45,,,
Approved seed,Sufficiently verified direct vendors and online purveyors suitable for initial seeding.,,Countries / territories,7,,,
Review before seed,"Real distributors with incomplete website, territory, alias or current-status verification. Queue these for global_admin review.",,Approved seed,102,,,
Reference only,"Buying groups, redistributors, contract systems and closed franchise supply networks that should not normally appear as a restaurant's direct vendor.",,Review before seed,65,,,
International scope,"Includes the current international IFDA membership found in Canada, Bermuda, Brazil and South Korea, plus U.S. distributors with cross-border reach.",,Reference only,19,,,
Identity rule,Parent ownership does not automatically replace an operating vendor brand. Cheney remains a vendor identity under PFG; Restaurant Depot remains separate while its Sysco transaction is pending.,,Connector-key records,27,,,
Coverage rule,State/province matches are candidates only. Final availability still requires customer ZIP/postal-code confirmation.,,Cut+Dry vendors,2,,,
,,,Public e-commerce connectors,8,,,
