Category,Item,Size/Variant,Price
Appetizers,Bacon Cheese Fries,,8.5
Appetizers,Buffalo Shrimp (5) w/ blue cheese,,11.95
Appetizers,Cheese Steak Nachos,,11.5
Appetizers,Chicken Cheese Steak Nachos,,11.5
Appetizers,Cole Slaw,Large,2.5
Appetizers,Cole Slaw,Small,1.25
Appetizers,Curly Fries,,6.25
Appetizers,Curly Fries,with cheese,8.0
Appetizers,French Fries,,5.75
Appetizers,French Fries,with cheese,7.5
Appetizers,Garlic Long Roll,,3.0
Appetizers,Garlic Long Roll,add mozzarella cheese,4.0
Appetizers,Grilled Chicken Quesadilla,,11.5
Appetizers,"Mega Fries (bacon, mozz, whiz; ranch side)",,9.5
Appetizers,Mozzarella Sticks (6),,8.5
Appetizers,Old Bay Fries,,6.25
Appetizers,Onion Rings,,5.75
Appetizers,Pepperoni Pizza Fries,,8.0
Appetizers,Pizza Fries,,7.75
Appetizers,Steak Quesadilla,,11.5
Appetizers,Veggie Quesadilla,,11.5
Appetizers,Wing Dings (10),,13.25
Appetizers,Wing Dings Platter,,15.75
Burgers,Cheeseburger,,8.25
Burgers,Cheeseburger Deluxe (fries & slaw),,11.5
Burgers,Double Cheeseburger,,9.75
Burgers,Double Turkey Cheeseburger,,9.75
Burgers,Hamburger,,7.75
Burgers,Pizza Burger,,8.5
Burgers,Turkey Burger,,7.75
Burgers,Turkey Cheeseburger,,8.25
Burgers,Turkey Cheeseburger Deluxe (fries & slaw),,11.5
Burgers,Veggie Burger,,8.25
Burgers,Veggie Burger Deluxe (fries & slaw),,11.5
Catering - Party Salads,Caesar,Starter 18–20 / Meal 10–13,65.0
Catering - Party Salads,Chef Salad,Starter 18–20 / Meal 10–13,85.0
Catering - Party Salads,Garden,Starter 18–20 / Meal 10–13,65.0
Catering - Party Salads,Greek Salad,Starter 18–20 / Meal 10–13,85.0
Catering - Party Salads,Grilled Chicken,Starter 18–20 / Meal 10–13,85.0
Catering - Party Salads,Grilled Chicken Caesar,Starter 18–20 / Meal 10–13,85.0
Catering - Pasta (Serves 8–10),Fettuccini Alfredo,,65.0
Catering - Pasta (Serves 8–10),Fettuccini Alfredo with Chicken & Broccoli,,80.0
Catering - Pasta (Serves 8–10),Pasta with Chicken Parmesan or Grilled Chicken,,70.0
Catering - Pasta (Serves 8–10),Pasta with Meatballs or Sausage,,65.0
Catering - Pasta (Serves 8–10),Spaghetti or Penne with Sauce & Cheese,,50.0
Catering - Pasta (Serves 8–10),Tray Hot Meatballs in Sauce,,80.0
Catering - Trays (Feeds 9–12),Assorted Hoagie Tray,,90.0
Catering - Trays (Feeds 9–12),Assorted Wrap Tray,,90.0
Catering - Trays (Feeds 9–12),Cheesesteak Tray,,95.0
Catering - Trays (Feeds 9–12),Chicken Salad Hoagie Tray,,90.0
Catering - Trays (Feeds 9–12),Italian Hoagie Tray,,90.0
Catering - Trays (Feeds 9–12),Roast Beef Hoagie Tray,,90.0
Catering - Trays (Feeds 9–12),Tuna Hoagie Tray,,90.0
Catering - Trays (Feeds 9–12),Turkey Hoagie Tray,,90.0
Chicken Fingers,Buffalo Chicken Fingers,5,10.95
Chicken Fingers,Chicken Fingers,10,19.0
Chicken Fingers,Chicken Fingers,20,38.0
Chicken Fingers,Chicken Fingers,5,9.5
Chicken Fingers,"Finger Platter (w/ fries, slaw, roll & butter)",3,9.95
Chicken Fingers,"Finger Platter (w/ fries, slaw, roll & butter)",5,13.25
Wings,Boneless Wings,16,19.5
Wings,Boneless Wings,24,29.25
Wings,Boneless Wings,8,9.75
Wings,Wings,10,14.25
Wings,Wings,100,140.0
Wings,Wings,20,28.5
Wings,Wings,30,42.5
Wings,Wings,40,57.0
Wings,Wings,50,70.0
Wraps,B.L.T. Wrap,,11.25
Wraps,Buffalo Chicken Wrap,,11.25
Wraps,Cheeseburger Wrap,,11.25
Wraps,Cheesesteak Wrap,,11.25
Wraps,Chicken Caesar Wrap,,11.25
Wraps,Chicken Cheesesteak Wrap,,11.25
Wraps,Chicken Finger Wrap,,11.25
Wraps,Chicken Salad Wrap,,11.25
Wraps,Greek Wrap,,11.25
Wraps,Grilled Chicken Wrap,,11.25
Wraps,Ham & Cheese Wrap,,11.25
Wraps,Roast Beef & Cheese Wrap,,11.25
Wraps,Tuna Cheese Wrap,,11.25
Wraps,Turkey Cheese & Bacon Wrap,,11.25
Wraps,Turkey Cheeseburger Wrap,,11.25
Wraps,"Veggie Wrap (hot; pesto, provolone, mushrooms, zucchini, eggplant & roasted peppers)",,11.25
